"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00031975",2015-06-03 12:30:00,"UNIVERSITY AVE / CURTIS ST","T","",1,"BM4TCN","Black","Male","40+","Traffic","Citation","No Search",12,"4"
"2015-00031986",2015-06-03 13:34:00,"SIXTH ST / DELAWARE ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",13,"4"
"2015-00031992",2015-06-03 14:06:00,"SHATTUCK AVE / CENTER ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",14,"4"
"2015-00031993",2015-06-03 14:14:00,"MILVIA ST / BERKELEY WAY","1194B","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",14,"4"
"2015-00032002",2015-06-03 15:10:00,"NORTH AQUATIC PARK","1196","",1,"HM3TWN","Hispanic","Male","30-39","Traffic","Warning","No Search",15,"4"
"2015-00032004",2015-06-03 15:22:00,"SACRAMENTO ST / DWIGHT WAY","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",15,"4"
"2015-00032007",2015-06-03 15:35:00,"SAN PABLO AVE / DARTMOUTH ST","T","",1,"HM3TWN","Hispanic","Male","30-39","Traffic","Warning","No Search",15,"4"
"2015-00032008",2015-06-03 15:42:00,"HARRISON ST / EIGHTH ST","T","",1,"WM4TWS","White","Male","40+","Traffic","Warning","Search",15,"4"
"2015-00032025",2015-06-03 16:21:00,"BUCHANAN ST / SAN PABLO AVE","T","",1,"HM4TWN","Hispanic","Male","40+","Traffic","Warning","No Search",16,"4"
"2015-00032026",2015-06-03 16:21:00,"37.8609962420001~-122.256143699","1194","",1,"BM3RWN","Black","Male","30-39","Probation/ Paroleeasonable Suspicion","Warning","No Search",16,"4"
"2015-00032028",2015-06-03 16:32:00,"CAMELIA ST / STANNAGE AVE","T","",1,"HM4TWN","Hispanic","Male","40+","Traffic","Warning","No Search",16,"4"
"2015-00032031",2015-06-03 16:45:00,"HEARST AVE / SAN PABLO AVE","T","",1,"BM3KWS","Black","Male","30-39","K","Warning","Search",16,"4"
"2015-00032035",2015-06-03 17:07:00,"ASHBY AVE / KING ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",17,"4"
"2015-00032046",2015-06-03 17:46:00,"SACRAMENTO ST / CARLETON ST","T","FC",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",17,"4"
"2015-00032059",2015-06-03 18:23:00,"2300 BLOCK SHATTUCK AVE","1194","",1,"WM2RWN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Warning","No Search",18,"4"
"2015-00032064",2015-06-03 18:50:00,"CHANNING WAY / SEVENTH ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",18,"4"
"2015-00032068",2015-06-03 18:59:00,"6TH ST/UNIVERSITY AVE","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",18,"4"
"2015-00032070",2015-06-03 19:15:00,"SAN PABLO AVE / UNIVERSITY AVE","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",19,"4"
"2015-00032071",2015-06-03 19:18:00,"WARD ST / ELLSWORTH ST","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",19,"4"
"2015-00032078",2015-06-03 19:46:00,"COLLEGE AVE / ASHBY AVE","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",19,"4"
"2015-00032085",2015-06-03 20:58:00,"PARKER ST / TELEGRAPH AVE","T","",1,"OM2TCN","Other","Male","18-29","Traffic","Citation","No Search",20,"4"
"2015-00032088",2015-06-03 21:10:00,"CHANNING WAY / SHATTUCK AVE","T","",1,"BF2TWN","Black","Female","18-29","Traffic","Warning","No Search",21,"4"
"2015-00032089",2015-06-03 21:25:00,"CHANNING WAY / ELLSWORTH ST","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",21,"4"
"2015-00032090",2015-06-03 21:34:00,"CHANNING WAY / ELLSWORTH ST","T","",1,"WF4TWN","White","Female","40+","Traffic","Warning","No Search",21,"4"
"2015-00032091",2015-06-03 21:47:00,"UNIVERSITY AVE / WALNUT ST","T","",1,"AF4TCN","Asian","Female","40+","Traffic","Citation","No Search",21,"4"
"2015-00032094",2015-06-03 22:08:00,"DURANT AVE / ELLSWORTH ST","T","",1,"HF2TWN","Hispanic","Female","18-29","Traffic","Warning","No Search",22,"4"
"2015-00032096",2015-06-03 22:20:00,"SHATTUCK AVE / ALLSTON WAY","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",22,"4"
"2015-00032097",2015-06-03 22:25:00,"CENTENNIAL DR/RIM WAY","T","",1,"AM2TWN","Asian","Male","18-29","Traffic","Warning","No Search",22,"4"
"2015-00032102",2015-06-03 22:37:00,"2100 BLOCK SHATTUCK AVE","1194","",1,"WM2RWN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Warning","No Search",22,"4"
"2015-00032104",2015-06-03 22:40:00,"2300 BLOCK TELEGRAPH AVE","1194","M",1,"OM3IWN","Other","Male","30-39","Investigation","Warning","No Search",22,"4"
"2015-00032108",2015-06-03 22:59:00,"ASHBY AVE/DEAKIN ST","T","",1,"AM2TWN","Asian","Male","18-29","Traffic","Warning","No Search",22,"4"
"2015-00032113",2015-06-03 23:22:00,"ALCATRAZ AVE / BAKER ST","T","",1,"OM2TWN","Other","Male","18-29","Traffic","Warning","No Search",23,"4"
"2015-00032115",2015-06-03 23:29:00,"ELLIS ST / ALCATRAZ AVE","T","",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",23,"4"
"2015-00032117",2015-06-03 23:34:00,"2300 BLOCK TELEGRAPH AVE","1194","M",1,"WM2IWN","White","Male","18-29","Investigation","Warning","No Search",23,"4"
"2015-00032118",2015-06-03 23:36:00,"ALCATRAZ AVE / HERZOG ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",23,"4"
"2015-00032120",2015-06-03 23:45:00,"2300 BLOCK TELEGRAPH AVE","1194","",1,"WM2RCN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",23,"4"
